,title,source,url,channel_id,category,dtype,ctype,content_type,date,like,comment_count,up,tags,pageid,itemid,docid,meta,auth,is_gov,b_political,image_urls,detail_fulltext
0,男子与前女友当朋友面脱光亲热 朋友起生理反应做这事,中国青年网,https://t.m.youth.cn/transfer/yidian/url/news.youth.cn/sh/201705/t20170513_9752173.htm?yidian,618174961,社会,1.0,news,news,2017-05-13 10:05:00,5.0,7.0,144.0,[],SC_c9,0GKydv2x,0GKydv2x,385806_1494644766281_3937,True,False,False,['0GKydvyqZF'],原标题:男子与前女友当朋友面脱光亲热 朋友起反应做这事夫妻或情侣之间的亲密之事，都是非常隐蔽的，在外人面前肯定不会做出出格的举动。可是在浙江嘉兴，有这么一对年轻人，竟然当着朋友的面发生关系。于是，这个血气方刚的年轻人把持不住了，做出了违法犯罪的举动来。阿平在平湖一家企业工作，独自租住在离企业不远的一间农房里。2月4日晚上，阿平已经躺在了床上，正当他玩着手机时，突然接到了朋友阿路打来的电话。阿路对他说，他也来到了平湖，想去见一见他。没过多久，阿路就来到了阿平的租房。坐了一会，两人显得很无聊，阿路提出去酒吧玩一会。阿平没有同意，阿路就自己一个人去了。大概到了凌晨4点的时候，睡梦中的阿平被开门声给惊醒了。他睁开眼一看，原来是阿路回来了，他竟然还带了一个女子过来。阿路对阿平说，他们以前是情侣，当晚又相遇了，想一起到阿平这里来借宿一下。阿平没有拒绝，于是3个人就睡在一张床上。阿路与那女子睡下后就开始聊天，聊得比较火热。聊了一会之后，两人竟然互相脱起衣服来。阿路脱光了衣服，那女子也只剩下一件内衣，两人竟然不顾阿平在身边，当着他的面发生了关系。完事之后，两人穿上衣服继续聊天。阿平被他们吵得睡不着觉，心里不禁有点火，但也不好意思发作。也不知过了多久，阿路与女子再次发生关系。这时，阿平再也忍不住了，自己也有了生理反应，一只手不自觉地去摸女子的胸部。女子显然有些反感，一把推开了他。但过了一会儿，阿平的手又伸了过来。在这期间，阿平突然问阿路，他是否可以与这名女子发生一次关系。阿路听了也不征得女子的意见，就同意了。因此，等阿路结束之后，阿平就趴到女子的身上去了。他的手不停地在女子身上乱摸，女子一个劲地反抗。因为害怕女子的叫声惊动隔壁的人，阿平甩了女子一个耳光。眼见女子反抗得厉害，自己无法达成心愿，阿平恼怒地把两人赶出了自己的租房。原本以为这事就这样过去了，哪知女子却报了警。目前，阿平因涉嫌强奸罪被提起公诉。
0,9年前，有人疯狂阻止海外华人为汶川地震捐款，目的何在？,中国反邪教,http://www.yidianzixun.com/mp/content?id=23560267,618174961,社会,3.0,news,news,2017-05-12 12:53:57,46.0,26.0,55.0,[],SC_c9,0GKYwEzH,0GKYwEzH,385806_1494644766281_3937,True,False,True,"['0GKYwEL8KZ', '0GKYwEQzzg', '0GKYwEDqJT']",2008年5月12日14时28分04秒，一个无法被忘记的时间。8.0级地震撼动四川汶川，近7万人遇难，一段9年过去依然会感到伤痛的记忆。没有人能忘却，那些顽强的生命，那些奋不顾身的搭救，那些来自四面八方的支援……这是新中国成立以来破坏力最大的一次地震，也是唐山大地震后伤亡最严重的一次地震！无邪君清楚地记得，汶川地震甫一发生，举国上下众志成城抗震救灾，全球各地海外华人也纷纷哀悼募捐。千言万语汇成一句——“汶川，加油！”无邪君至今都不能忘记，身体断成两截仍紧护两名学生的年轻女老师向倩；不能忘记，“亲爱的宝贝，如果你能活着，一定要记住我爱你”的临终母爱短信；不能忘记，废墟底下拿出身边的课本，默默认真学习，悄悄地相互提醒“不要睡着了”的16个孩子；不能忘记，冲锋在第一线、没日没夜拼死抢救的救援人员累瘫在废墟边的身影；不能忘记，成千上万名无偿献血者在义务献血站旁排起了爱的长龙；不能忘记，“地震最感人乞丐”龚忠诚用手“走”着，先后四次把全部乞讨所得投进募捐箱；然而，也偏偏是这个时候，有那么一群人，他们不但不给灾区捐一分钱，反而连续多日在美国纽约法拉盛图书馆门前、地铁口集会，敲锣打鼓地阻挠当地侨团为四川震灾募捐。这群人所在的组织叫法沦功，它非法成立于1992年。由于违法活动造成严重社会危害，在1999年7月被中国政府依法取缔。取缔前，1440余人因其不幸逝世。但它的头目李洪志，多年前早已购买了一份“保险”——全家移民美国。面对世界各国对中国援助的善举，法沦功为什么要阻挠？为什么要散布危言耸听的谣言、说什么地震是中国应受的报应？为什么公然宣扬念“法沦大法”即可保平安？实际上，利用各种天灾人祸鼓吹邪说、散布谣言、制造恐慌、破坏社会，是法沦功的惯用伎俩。早在法沦功出笼之初，李洪志就用“地球爆炸”、“人类淘汰”等歪理邪说来发展和控制信徒。被取缔后，法沦功更是“逢灾必动”，只要是中国出现天灾人祸，就借机跳出来大做文章。法沦功为何能以冷血的邪教心态，置老百姓的生死于不顾，借四川地震造谣生事，破坏社会稳定？无邪君知道，李洪志发展信徒、壮大组织的方式就是“打拉结合”。打，就是用这些所谓的“业力”、“淘汰”来恐吓他人；拉，则是把自己包装成佛祖吸引他人。比如，李洪志的实际生日，是1952年7月7日，但他却在传播法沦功两年后，突然把自己的生日改成了1951年5月13日。这一天，正好是农历四月初八，佛祖释迦摩尼的生日，被佛教徒信奉为“佛诞日”。他这么做，是想为日后称“佛”、骗取更多人信任来铺路。事实上，李洪志的父母李丹、卢淑珍，是1951年春天在吉林公主岭镇的一个医疗培训班上才认识的。一直到那一年的秋天，两人才结婚。而李洪志新“生日”的这天，他的生身父母根本还没有结婚！然而，李洪志仍一再坚持，自己就是这天出生，是佛祖转世。甚至向世人宣扬，自己就是“宇宙主佛”，连自己的父母都是自己造的……明天就是5月13日，是李洪志所谓的六十六岁“生日”。只是这天，面对2000多位因练法沦功死亡的弟子，面对汶川地震数十万死伤同胞，面对一手将自己养大的父母，他真的能够安心度日吗？1999年，邪教组织法沦功被中国政府依法取缔，李洪志等人逃窜到美国。此后，法沦功组织的“邪”更加变本加厉。他们受来自诸如美国中央情报局的外围基金会“国家民主基金”等组织源源不断的财政资助，几乎一夜之间，把自己变成了专业的、全职的反华势力急先锋。西方反华势力将法沦功当做一个对抗中国的筹码。而法沦功也积极配合，极尽抹黑中国之能事，编造大量谣言，为反华势力提供中伤中国的“炮弹”。但是，面对中伤和抹黑，中国人从来没有惧怕过！无邪君相信，法沦功邪说的荒诞可笑，行为的灭绝人性，终将使他们被钉在历史的耻辱柱上！转载请注明来源于『中国反邪教』一经采用支付丰厚稿酬
0,男童坠楼被120认定死亡不抢救 家人送医反救活,观察者网,http://newrss.guancha.cn/yidianzixun/post/society/2017_05_13_408103.shtml,618174961,社会,3.0,news,news,2017-05-13 09:32:04,,0.0,110.0,[],SC_c9,0GKzVwHt,0GKzVwHt,385806_1494644766281_3937,True,False,False,"['0GKzVwqvka', '0GKzVwD15i', '0GKzVwv4kS']",原标题：6岁男童坠楼，120现场认定不治，可孩子抢救后竟然活了，涉事医生停职一年	据微信公号“经视焦点”（ID：jd88008800）5月12日消息，湖南衡阳常宁市塔山瑶族乡六岁男童鹏鹏不慎从家中八米的天台坠下，头部直接掉到水泥地上，120救护车赶到后，认定鹏鹏已经死亡，不再采取抢救措施，可鹏鹏的家人不肯放弃，一度和救护车上的医护人员发生争执，最终，家人自行将鹏鹏送到医院救治，结果孩子活了过来。	事发后，常宁当地高度重视，迅速展开调查。根据院方的调查通报，当事医生业务水平欠缺，临床经验不足，导致对孩子的伤情错误判断，没有采取必要的施救措施，导致事态复杂化，负有主要责任。	目前涉事医生及相关人员均被停职调查。	 	鹏鹏的哥哥说，当时两人正在天台上玩耍，后来鹏鹏的哥哥先行下楼，没想到鹏鹏自己就从天台上摔了下来。周边居民听到呼救后赶来，发现鹏鹏已经一动不动。	 	意外发生在5月8日下午，鹏鹏就是从八米高的这个天台上失足掉了下去。	 	 	意外发生后，鹏鹏的家人赶紧拨打了120急救电话，并且抱着鹏鹏跑下了山，希望早一点遇到救护车。	 	终于，鹏鹏的家人与常宁市人民医院的救护车碰上了头，医生下车后对鹏鹏展开检查，当场断定鹏鹏已经瞳孔放大，没有了生命体征，拒绝了把孩子运送到医院抢救，双方在现场发生冲突。	 	 	 	双方一度争执不下，随后民警赶到现场，在周围群众的帮助下，晚上8点40左右，鹏鹏家人自行将孩子送到了常宁市人民医院急诊科抢救。	 	目前，鹏鹏仍有生命体征，但是脑部受伤严重，已经被转院到南华附二医院抢救，仍没有脱离生命危险。那么，当时120医生为什么会放弃治疗呢？	 	 	院长介绍，当时救护车上有四人，一名医生一个护士抬担架工作人员和司机，根据院方的调查通报，当事医生业务水平欠缺，临床经验不足，导致对孩子的伤情错误判断，没有采取必要的施救措施，导致事态复杂化，负有主要责任。	目前，涉事人员均被处罚。	 	 	常宁市人民医院也表示，将召开全院职工大会，举一反三，分析原因，从中吸取教训。
0,爱上同村小伙 18岁姑娘遭亲哥亲爸荣誉处决脸胸部中弹生命垂危,看看新闻网,http://m.kankanews.com/n/1_7989370.html?utm_source=yidian,618174961,社会,3.0,news,news,2017-05-13 08:49:00,32,85.0,172.0,[],SC_c9,0GKx2rRG,0GKx2rRG,385806_1494644766281_3937,True,False,False,"['0GKx2r3LiD', '0GKx2rcjEz', '0GKx2rLDZn']",核心提示：在印度一些贫穷愚昧地区，人们的婚姻大事都有很多禁忌，如果违反了，会遭到家人或是族人的荣誉处决。日前，印度北方邦的一个村庄就发生了一起家人荣誉处决一名成员的残忍事件。据英国《每日邮报》5月12日报道，在印度北方邦森珀尔的一个村庄，18岁姑娘鲁比三年前爱上了同村的24岁小伙儿伊布拉西姆。迫于当地的风俗和村规，这对恋人三年来一直都是偷偷摸摸地谈情说爱，直到昨天晚上，鲁比的妹妹偷听到鲁比与伊布拉西姆的电话后，俩人的恋情才被发现。妹妹将偷听到的事情告诉了爸爸和哥哥。几分钟后，52岁的爸爸和32岁的哥哥，找到鲁比问明情况后，将鲁比痛打了一顿，随后拿出枪朝鲁比面部和胸部开了两枪。鲁比立刻倒在血泊中。村民听到尖叫声和枪声后迅速报了警。警察很快赶到现场，只见鲁比受伤的部位还在流血，人已经奄奄一息，而她的家人袖手旁观。警察火速将鲁比送到当地一家政府经营的地区医院。院方说，鲁比的伤情非常严重。由于这家医院设备有限，鲁比今天早晨又被转院到40公里外的一家私人医院。与此同时，警方以试图谋杀的罪名逮捕了鲁比的哥哥和父亲。警方说，这是一起荣誉处决案件。除了她的哥哥和父亲，她的母亲也反对她与同村的小伙儿恋爱。目前，鲁比正在这家私人医院接受治疗，生命垂危。警方还在这家医院布置了警力，对鲁比实施保护。警方表示，一旦鲁比情况稳定，他们将对这个家庭的其他成员进行询问，并给出处理结果。据先前接诊的地区医院医生介绍，鲁比当时送到医院的时候是半昏迷状态，流血很多，血压非常低。她的左脸颊距离耳朵3厘米处有一颗子弹，胸部右侧还有一颗子弹。（编辑：王鹏 周杰）
0,还原3000多存20年剩70元真相：大爷当年已取走,环球网,https://m.huanqiu.com/r/MV8wXzEwNjYxMzg5XzE0MDBfMTQ5NDYzNTA0MA==?__from=yidian,618174961,社会,0.0,news,news,2017-05-13 08:24:00,9,12.0,150.0,[],SC_c9,0GKw8x5r,0GKw8x5r,385806_1494644766281_3937,True,False,False,[],"近日,一则“乐山大爷藏存折20年 3406元存款仅剩70元”的消息广为流传,昨日成都商报记者从中国银行五通桥支行求证了解到,经多方查找原始票据档案,原来这位大爷当年已经取款。对于取款凭条,大爷承认签字是其笔迹。疑问:存3406元 20年后剩70元?去年6月,乐山市五通桥区70多岁的李大爷,在柜子里发现一本20多年前的中国银行存折,存折上显示有3406元。但当他拿着存折去网点取这笔钱时,发现存折早已被冻结,存折上显示的3406元如今只剩下70元。3406元为何仅剩下70元?银行工作人员也无法做出解释,但承诺会尽快调查清楚。由于李大爷开户时间是1996年1月,当时没有实行实名制和数据化,单据保存全部采用手工制单,且20多年来银行系统还多次升级。银行工作人员介绍,要查询的历史传票有2400盒,每个盒子里有10本左右的小册子,每本小册子都有不同数目的银行存取信息,因此查询工作十分缓慢。“3406元存款20年后仅剩70元”的消息在网上传开后,引发网友热议,有网友猜测,可能每年被扣了“管理费”,甚至还有网友怀疑这笔钱可能被银行弄掉了。求证:取款凭条显示大爷当年已取款接到李大爷的反映后,中国银行五通桥支行工作人员一直组织人手查找原始票据档案。5月11日下午,银行传来消息:工作人员找到了一张1996年5月1日的取款凭条,凭条上清楚地写着李大爷的名字,取款金额3405元,余额1元,利息61.22元。经仔细核实,这张取款凭条正是李大爷的。“当时是半年计一次利息,李大爷取钱时还没到6月30日,利息还没结算,也无法取出来,估计当初工作人员就建议他留了1元余额,后来计算利息为61.22,并手工补写在这张取款凭条上。”银行工作人员介绍,现在李大爷存折上的70元余额,就是当年未取的62.22元累息的结果。11日下午6时,银行工作人员带着取款凭证来到李大爷家。李大爷仔细看了这张取款凭条后说,上面的签字确实是他的笔迹,“这事我认账,给你们添了麻烦!感谢你们认真负责的态度,终于查清楚了。”银行工作人员也向李大爷表示歉意,因当时工作疏忽,存折上没体现这笔交易。昨日下午,经银行工作人员计算,李大爷支取了存折上的余额70.2元。成都商报记者 顾爱刚"
0,浙江一男子拿老爸用命换来的钱买奔驰 最终车子丢了 人疯了,1818黄金眼,http://www.yidianzixun.com/mp/content?id=23587418,618174961,社会,1.0,news,news,2017-05-12 18:32:41,15,45.0,22.0,[],SC_c9,0GKjteqv,0GKjteqv,385806_1494644766281_3937,True,False,True,['http://si1.go2yd.com/get-image/0DKAjCPEaZM'],安徽的罗大姐说，她有个27岁的弟弟，在杭州余杭良渚打工，10号那天，弟弟突然精神失常，与此同时，弟弟刚买不久的一辆奔驰也失踪了。弟弟精神失常，奔驰车下落不明罗大姐说，弟弟精神失常比较突然，虽然说已经送往医院，可诊断结果还没有出来。那么，原本好好的弟弟，精神是怎么突然失常的呢？罗大姐说，弟弟在良渚一家装修公司当业务员，她自己和丈夫在萧山打工，4月20号，弟弟买了一辆奔驰GLA200，这是一款城市越野车，花了三十万左右，连牌照都还没上，弟弟精神失常后，那辆奔驰车下落不明。“我就是想让你们来帮我们找到这辆车。”罗大姐的弟弟在余杭良渚瑷颐湾租房子住，罗大姐说此前到过弟弟的房间，里面一片凌乱，钱包、手机和身份证都没找到。记者联系了房东，房东表示，是连地下车位一起租给罗大姐弟弟的。罗大姐赶到了瑷颐湾的地下车库，在13幢楼下A011的车位上，停着一辆面包车，旁边有装修工人在搬装修材料。装修工人说，没有注意过罗大姐所说的奔驰车。车是父亲的赔偿款买的罗大姐说，她弟弟的这辆奔驰，还是用老父亲前年的赔偿款买的，而这笔赔偿款，是老父亲用命换来的，“我爸是在工地上被桩机砸死的，死亡险赔了七十五万，都给弟弟了。”地下车库没有找到车，保安对车有印象地下车库很空，停的车子很少，罗大姐说，弟弟租住在9幢，抱着一丝希望，她到9幢楼下的地下车库找了一圈，还是没找到那辆奔驰，不过地下车库出口的保安，对那辆奔驰有印象。“他跟我说过，车子丢了，我说你在哪里丢的，正好那天他说，他才结婚，好像回门之类的，具体几号我也不清楚 有一段时间了嘛。”听到这里，罗大姐起了疑惑，“肯定是被女孩子骗走了，就是说胡话的那一天。”失踪的车和“白富美”有关？罗大姐说，她弟弟的车子肯定被一个女孩子骗走了，而且弟弟的精神失常，跟对方似乎也有关系，这其中是不是另有隐情呢？“他说那个女的是个留学生，是富阳那边的，她家有两兄弟，给他们一人买了一栋，三百多万的别墅，然后还说，其中有一栋别墅，给他女朋友的。”罗大姐说。罗大姐说，她弟弟在买奔驰之前，就跟她提起过一个女朋友，按弟弟的描述，那就是一个典型的白富美，但弟弟从来没带对方来见过面，“他说这辆车子是送给他老婆的，钥匙给了她一把。”罗大姐的弟弟在买了奔驰车之后，说要送给所谓的女朋友，还找了黄牛帮他去买杭州牌照，结果到了5月9号，弟弟不对劲了，“那天晚上去我那里，他说他昨天晚上订婚了，他叫我们给他拿红包，他说他三天三夜都没睡过觉。”来看车时，由始至终只有弟弟一人罗大姐说，当时她弟弟非常亢奋，到第二天就开始胡说八道，嘴里喊着骗子骗子，到处捡垃圾吃，家人只能把他送到杭州市第七人民医院。那辆奔驰是在石祥路浙江鹏龙之奔4S店买的，记者陪罗大姐赶到了这里。浙江鹏龙之奔4S店销售员小张回忆，罗大姐弟弟看车买车，只身一人，“从始至终，都是他一个人过来的，而且他是来了四五次，才进行订车的，分别由我们，不同的同事帮我接待的。”经理：车有定位功能，需要警察的协查函销售员小张说，当时罗大姐的弟弟一次性付了全款。4S店的白经理说，就在上周日，也就是7号，罗大姐的弟弟跟着罗大姐的丈夫一起来店里，说车丢了，他当时就觉得不对了。“头也没洗，脸也没洗，牙也没刷，他说在山里吃老鼠，”浙江鹏龙之奔4S店销售部白经理回忆，“有点前言不搭后语，逻辑思维有点不对了。他是让我去帮他找车，我们是计划一起去良渚，都是山上，我们就去找，结果罗大姐老公说，他有点神志不清了，估计去也找不到，就没去找。”4S店的白经理跟北京奔驰总部技术部门联系之后，确认罗大姐弟弟的这款奔驰GLA200出厂时就有一个定位功能。“它是有个定位追踪功能，实际功能是有的，但是一定要有警察的协查函 ，有协查函以后，就等于通过正常的渠道来定位。”罗大姐弟弟租住的瑷颐湾属于余杭良渚派出所的辖区，罗大姐赶到了良渚派出所，警方表示从目前的情况看暂时还不能立案，建议罗大姐先等她弟弟神志清醒之后再说。更多社会百态，敬请订阅“1818黄金眼”
0,大连15中车祸真相出炉！67岁肇事者每天接外孙女放学,突发大连,http://www.yidianzixun.com/mp/content?id=23528281,618174961,社会,3.0,news,news,2017-05-12 10:34:56,104,397.0,79.0,[],SC_c9,0GKJeeEq,0GKJeeEq,385806_1494644766281_3937,True,False,True,"['http://si1.go2yd.com/get-image/0DJNiVMs5Am', 'http://si1.go2yd.com/get-image/0DJNj2GFO2S', 'http://si1.go2yd.com/get-image/0DJNjODHnQe']",突发大连特别报道：此刻，距离大连5·10惨烈车祸已经过去2天，经历漫长的两夜，受伤孩子的家属熬红了眼睛，市民也无时无刻不在为受伤的孩子们揪着心。突发大连制图5月10日17时50分许，在大连15中学门前12路公交站台上发生的那起车祸，牵动了数万网友的心。截至5月12日早6时，受伤孩子中最严重的男孩，正在读初二，年龄14岁左右。大连晚报一记者介绍，男孩已经脑死亡，但截至目前尚未有官方准确消息。突发君从医院方面了解，医院特请恰好在大连的北京以及外地相关专家一起会诊。医生和家属都没有放弃，生死不离！肇事司机5月11日下午16时许，大连警方正式披露事故原因消息：“经连夜工作，交警部门委托司法鉴定机构鉴定：肇事车辆制动系、转向系各部件未发现异常；鉴定该车通过监控录像截取距离的速度变化分别为20km/h、25km/h、26km/h、23km/h。经勘查，事故现场路面无肇事车辆刹车痕迹，驾驶员崔某未采取有效措施，直接导致该起事故的发生。目前，事故相关证据正全面固定中，犯罪嫌疑人崔某因涉嫌交通肇事罪已被警方依法刑事拘留，执行羁押。殇痛突至，牵挂滨城。同心祈福，等你回家。”据鉴定结果显示，该路虎车的常规检测明确其所有性能均为正常车辆。这起事故引起该车左前大灯破损，但不影响使用;右后轮胎外侧遭受挤压爆胎。同时，鉴定人员在对该车辆的相关速度鉴定中发现，在对事故发生前后的四段速度检测表明，该车车速均未超过30公里/小时。突发君从大连主流媒体获悉，中山区某小学附近的一家培训托管机构的老师和附近的居民介绍，肇事司机崔某正是每天都开车来此接外孙女放学回家的。一位老师表示，平时和崔某交流不多，但每天能看到他来，也基本不下车就接上孩子了。附近的几位居民也表示，肇事司机崔某的确每天都开车来接孩子，“已经有一两年了”。目前，各方面消息鱼龙混杂，突发君本着实事求是的态度，汇总主流媒体、官方声音如下：【5月10日】17时51分：男子驾驶越野车，驶上秀月街南侧12路公交车站点人行步道，将多名放学学生及路人撞伤。21时00分：大连电视台发布消息：11名学生被撞送医，家属情绪稳定。21时34分：大连公安发布消息：5月10日17时51分许，崔某（男，67岁，辽宁抚顺人）驾驶车牌号为辽B3xxx2越野车，驶上秀月街南侧12路公交车站点人行步道，将多名放学学生及路人撞伤。事故发生后，交警及中山区委区政府等相关部门第一时间赶赴现场，联动120急救中心开展施救。目前，伤者已全部送往医院进行救治。截至21时，留院救治共为9人，其中2人重伤，其余人员为轻伤或轻微伤。初步判明，驾驶员崔某承担全部事故责任。目前，警方已立案侦查，崔某已被警方采取强制措施，驾驶员血样已采集，酒驾、毒驾及其他检验鉴定正在同步进行。23时54分：大连公安发布消息：交警部门经委托司法鉴定机构，对驾驶员崔某进行血液中乙醇及毒品检测。经检测，排除崔某酒驾、毒驾嫌疑。截至目前，其他相关检验鉴定及调查工作正在全力进行中。【5月11日】16时43分：大连公安发布消息：经连夜工作，交警部门委托司法鉴定机构鉴定：肇事车辆制动系、转向系各部件未发现异常；鉴定该车通过监控录像截取距离的速度变化分别为20km/h、25km/h、26km/h、23km/h。经勘查，事故现场路面无肇事车辆刹车痕迹，驾驶员崔某未采取有效措施，直接导致该起事故的发生。目前，事故相关证据正全面固定中，犯罪嫌疑人崔某因涉嫌交通肇事罪已被警方依法刑事拘留，执行羁押。殇痛突至，牵挂滨城。同心祈福，等你回家。20时21分：大连晚报记者“大连匈奴”发布消息：截至今晚8:00最新消息，男孩已经宣布脑死亡，还在用呼吸机等系统维持着，对于家人来讲是一个痛苦的选择!唉!!!家人还在等待奇迹!颅骨粉碎性骨折，鼻子嘴还在流血，只有一点心跳，衣服都准备好了，只有孩子还在坚持，希望、祈祷奇迹的发生，祈祷!!!孩子，不要走!!!这世界值得留恋!我们，都在等你，希望你留下!（但此消息尚未得到官方证实）21时00分：大连电视台发布消息：大连15中惨烈车祸受伤学生9人仍在接受治疗，其中最为揪心的重伤男孩，正读初二，医生仍在全力救治，家属一直陪伴在ICU门外，学校老师也全天陪伴，同学们正祈祷男孩平安！【5月12日】半岛晨报发布消息：中山区某小学附近的一家培训托管机构的老师和附近的居民介绍，肇事司机崔某正是每天都开车来此接外孙女放学回家的。一位老师表示，平时和崔某交流不多，但每天能看到他来，也基本不下车就接上孩子了。······生死不离，我数秒等你的消息！孩子们，快起床吧，作业都没写完呢，老师明天会批评你们的！
0,重庆一男子网购充气娃娃 收到快递惊呆了,重庆时间网,http://www.yidianzixun.com/mp/content?id=23445458,618174961,社会,1.0,news,news,2017-05-12 10:06:56,74,119.0,298.0,[],SC_c9,0GJwGNER,0GJwGNER,385806_1494644766281_3937,True,False,False,['http://si1.go2yd.com/get-image/0DK1Ngawhdo'],网购常有，快递常在。网上购物，已经是我们生活中必不可少的一个常规动作了，基本上生活中所需要的物品，都可以在网上买到。近日，重庆万州一男子在网上买了个充气娃娃，但当看到快递包裹瞬间时，他整个人都尴尬得快要爆炸了。据当事男子说，他去门卫领这个快递时，空气都凝固了。只见快递包裹上，赫然写着八个大字“充气娃娃” “充气娃娃”，真是重要的文字写二遍，气氛都不好了。他当场拿出了手机记录下了，那个尴尬无比的瞬间。这下可不是全公司的人都知道他，在网上消费了个充气娃娃吗？当事男子担心着，并在朋友中分享了这个尴尬的事情，希望得到各位的处理建议。该男子问到，这个情况怎么破？充气娃娃，有什么合理的用法，或者可以扯得过去的理由吗，请万能的网友来出出注意吧。
0,广东警方悬赏百万通缉这个人 看到请举报！,法制网,http://www.yidianzixun.com/mp/content?id=23594954,618174961,社会,1.0,news,news,2017-05-12 19:29:16,6,3.0,3.0,[],SC_c9,0GKmzUKi,0GKmzUKi,385806_1494644766281_3937,True,False,False,['0GKmzUrxqv'],为严厉打击毒品犯罪活动，严惩震慑毒品犯罪分子，有效维护社会治安稳定，经侦查掌控，陆丰市公安局5月12日发布悬赏通告，对重大制贩毒犯罪嫌疑人郑森进行公开悬赏通缉。自本通告发布之日起，广大人民群众如发现该逃犯立即向公安机关举报或提供线索，配合公安机关将其抓获的，将奖励举报人100万元人民币，并对举报人严格保密；对隐瞒包庇容留该逃犯，以及为其逃避提供便利条件的，依法从严追究法律责任；对打击报复举报人的，依法从严惩处。公安机关敦促该逃犯尽早回头，主动投案自首，争取宽大处理。举报电话15360200830（24小时） 0660-8990110或110郑森，别名郑弟仔，男，1971年08月24日出生，身份证号：441522197108240656现住地址：陆丰甲子镇金源小区别墅区6排1栋该逃犯系汕尾系列海上毒品走私案主要犯罪嫌疑人，此案中警方缴获毒品高达2吨，全部为冰毒。该案件另一主要犯罪嫌疑人李俊鹏已于去年11月被抓获。
0,熟睡中耳朵里一阵刺痛，谁知里面竟有26只....夏天到了，这些一定要小心！,光明网,http://www.yidianzixun.com/mp/content?id=23576808,618174961,社会,3.0,news,news,2017-05-12 16:07:49,3,3.0,,[],SC_c9,0GKfqWqo,0GKfqWqo,385806_1494644766281_3937,True,False,False,"['0GKfqWxrJQ', '0GKfqW6ZGj', '0GKfqWbq5j']","夏天到了虽说小编很喜欢这个季节但有一点还是很讨厌甚至是恐惧的那就是各种毒虫也开始活跃起来想想下面这些玩意儿就觉得头皮发麻估计很多人夏天都被它们咬过然而这不是最可怕的由于这些虫子身体小还喜欢温暖的地方有人的耳朵就遭了殃在东莞打工的小李有一天半夜被耳朵痒醒后来越来越痛似乎有一只虫子正拼命往里钻到后来他痛得在床上捂着耳朵直打滚最近住在武汉的吴女士也遭遇了同样恐怖的事情24岁的吴女士一直出差在外前天夜里才返回武汉回到五楼租住处后她打开房门和窗户透气睡前才关上哪知凌晨5点半熟睡中的吴女士竟被左侧耳部的一阵刺痛弄醒而这种疼痛每隔几秒就会发生一次弄得她再难入眠于是吴女士只好请假一早便匆匆来到医院看病图文无关 ／视觉中国供图接诊医师一看发现吴女士的耳膜上蜘蛛、苍蝇、蜜蜂、蟑螂、寄生虫这类虫子爱钻进耳朵、鼻腔、五官洞穴！看来，这不是在开玩笑，这也不是惊悚电影里的情节，这些都是最真人真事啊。去年9月17日凌晨，扬州女子桃桃（化名）突然感觉耳朵剧痛，意识到耳朵里有异物，但怎么也掏不到。几番折腾后，疼痛加剧，家人赶紧将她送到医院治疗。医生惊讶地发现，桃桃的耳道内竟钻进了一只蜈蚣，剧烈的痛感也正是这只蜈蚣造成的。好在送诊及时，医生最终顺利将蜈蚣取出。去年4月，家住文昌花园小区的赵先生带着5岁儿子乐乐来到妇幼耳鼻喉科就诊。赵先生表示，最近儿子总喊耳朵疼，也说不清是什么原因。医生用检耳镜探入发现，乐乐的耳朵里没有耳屎，但是有个毛乎乎的东西，颜色还发红。通过工具，他将孩子耳朵里的异物取出，发现竟然是个活生生的红色蜘蛛，而且红色蜘蛛有剧毒。去年夏天，哈尔滨的刘虹总觉得耳朵里有类似钟表马达""嗒嗒""的鸣响。医生通过耳内镜发现，在她耳道里竟有两条白色的虫子。医生立即为她的耳道做了冲洗，将虫子冲了出来。原来刘虹常搂着自家宠物猫睡觉，可能是猫身上的寄生虫爬到了她的耳朵里。医生说，近期，受驱暖驱光习性影响，昆虫夜间会飞入室内，甚至误钻入人体七窍，所以一定要小心，夜里最好关上纱门、纱窗，如果一旦感觉耳部有间断性刺痛感，千万不要掏挖，最好及时到医院检查。还有不要在床边放零食。因为这些吃的会吸引蜈蚣、蜘蛛、蟑螂等虫类。要保持室内清洁，做好个人卫生，要经常给宠物洗澡，不要把宠物带上床！文章来源：楚天都市报微信投稿、（加时请注明微信投稿or合作）"
